Name,Code,1.11.07,2.11.07,5.11.07,6.11.07,7.11.07,8.11.07,9.11.07,12.11.07,13.11.07,14.11.07,15.11.07,16.11.07,19.11.07,20.11.07,21.11.07,22.11.07,23.11.07,26.11.07,27.11.07,28.11.07,29.11.07,30.11.07,3.12.07,4.12.07,5.12.07,6.12.07,7.12.07,10.12.07,11.12.07,12.12.07,13.12.07,14.12.07,17.12.07,18.12.07,19.12.07,20.12.07,21.12.07,24.12.07,25.12.07,26.12.07,27.12.07,28.12.07,31.12.07,1.1.08,2.1.08,3.1.08,4.1.08,7.1.08,8.1.08,9.1.08,10.1.08,11.1.08,14.1.08,15.1.08,16.1.08,17.1.08,18.1.08,21.1.08,22.1.08,23.1.08,24.1.08,25.1.08,28.1.08,29.1.08,30.1.08,31.1.08,1.2.08
BTAN FRANCE 2007 4 1/2% 12/07/12 - CLEAN PRICE,97695D(CP),101.5205,101.7046,101.7401,101.6477,101.8594,102.0105,102.2606,102.2007,102.0562,101.8894,102.0664,102.1961,102.5205,102.3254,102.6789,102.7046,102.5579,102.5771,102.498,102.1247,102.3082,102.0198,102.3096,102.5004,102.3984,102.2337,101.6865,101.4071,101.5825,101.2568,101.3475,101.2187,101.2645,101.27,101.3061,101.4335,101.2204,101.2204,101.2204,101.2204,101.0841,101.2441,101.2453,101.2453,101.9022,102.0106,102.265,102.2611,102.0786,102.3712,102.297,102.3801,102.5748,102.746,103.0073,103.1018,103.2547,103.5873,103.2197,103.863,103.1146,103.2242,103.3436,103.1605,103.1075,103.5831,103.6141
OAT FRANCE 2002 4 3/4% 25/10/12 - CLEAN PRICE,22311J(CP),102.6828,102.8978,102.9435,102.8445,103.0697,103.2085,103.4789,103.4278,103.2792,103.0854,103.2803,103.4277,103.7402,103.59,103.9524,103.9973,103.8503,103.8851,103.7919,103.3891,103.5831,103.2738,103.5659,103.7773,103.6689,103.4987,102.9404,102.6353,102.7901,102.4484,102.5366,102.4003,102.4395,102.435,102.4576,102.5995,102.3683,102.3683,102.3683,102.3683,102.2181,102.3925,102.388,102.388,103.0841,103.1954,103.4748,103.4541,103.2577,103.5642,103.5161,103.6075,103.7991,103.9846,104.2291,104.3036,104.4632,104.82,104.4343,105.0697,104.2804,104.4146,104.5442,104.3083,104.2492,104.7443,104.7505
OAT FRANCE 1987 8.5% 26/12/12 - CLEAN PRICE,747407(CP),119.8292,120.0547,120.0781,119.9656,120.1948,120.3839,120.6731,120.6069,120.413,120.1766,120.3812,120.5609,120.9289,120.714,121.1179,121.1599,120.9837,121.001,120.8878,120.4029,120.6543,120.2917,120.5936,120.8025,120.624,120.4252,119.7691,119.4037,119.5763,119.1085,119.2499,119.0856,119.1298,119.1213,119.106,119.2651,118.9851,118.9851,118.9851,118.9851,118.7801,118.9756,118.9714,118.9714,119.7025,119.8331,120.1592,120.1626,119.9379,120.2802,120.2057,120.2661,120.4722,120.6978,120.9873,121.0286,121.1903,121.1903,121.1373,121.8363,120.9755,121.0703,121.2297,120.9731,120.8622,121.4539,121.4608
OAT FRANCE 2003 4% 25/04/13 - CLEAN PRICE,24175W(CP),99.2746,99.4903,99.5296,99.4373,99.6701,99.8118,100.0922,100.0448,99.8904,99.6981,99.8971,100.0465,100.3722,100.218,100.5962,100.6431,100.4877,100.5125,100.4244,100.0107,100.232,99.9115,100.2022,100.4357,100.3319,100.1625,99.5828,99.2602,99.4382,99.085,99.141,99.0053,99.0658,99.0633,99.0871,99.2531,99.0037,99.0037,99.0037,99.0037,98.8513,99.0473,99.0336,99.0336,99.7583,99.8929,100.2126,100.2216,100.0109,100.3415,100.2386,100.3216,100.5326,100.7338,101.0376,101.0768,101.2348,101.5773,101.1549,101.7946,101.0195,101.1438,101.2997,101.0776,101.0052,101.5466,101.5577
OAT FRANCE 2003 4% 25/10/13 - CLEAN PRICE,72334C(CP),99.2036,99.4267,99.4522,99.3508,99.583,99.7391,100.0205,99.9494,99.7886,99.6075,99.7967,99.9486,100.3107,100.1161,100.497,100.5368,100.4129,100.4697,100.3723,99.9367,100.1709,99.8483,100.1489,100.3963,100.3079,100.1174,99.5178,99.168,99.3494,98.9945,99.075,98.9236,98.9902,98.9832,98.994,99.1731,98.894,98.894,98.894,98.894,98.7363,98.9379,98.9252,98.9252,99.6884,99.8244,100.1697,100.1851,99.9621,100.2951,100.2321,100.2971,100.5447,100.7752,101.093,101.1349,101.2683,101.5977,101.1281,101.82,101.0265,101.1385,101.2933,101.047,100.9579,101.5257,101.5683
OAT FRANCE 2003 4% 25/04/14 - CLEAN PRICE,39126F(CP),99.0405,99.2853,99.3098,99.2092,99.4645,99.5981,99.8902,99.7886,99.6252,99.4438,99.6408,99.7944,100.1772,99.9935,100.3868,100.4375,100.3241,100.37,100.2765,99.8296,100.0733,99.7346,100.0744,100.3524,100.2445,100.025,99.3848,99.03,99.2231,98.8171,98.9052,98.7494,98.8052,98.7984,98.7949,99.0031,98.6978,98.6978,98.6978,98.6978,98.5368,98.7558,98.754,98.754,99.5352,99.6831,100.0396,100.0329,99.7865,100.1663,100.0913,100.1971,100.4423,100.6624,100.9599,100.9939,101.1416,101.1416,100.995,101.6843,100.915,101.0479,101.2122,100.9493,100.8505,101.4461,101.4799
OAT FRANCE 2004 4% 25/10/14 - CLEAN PRICE,467324(CP),98.8576,99.1052,99.1193,99.023,99.2804,99.4213,99.7166,99.6245,99.4527,99.2662,99.453,99.6108,99.9938,99.7945,100.1809,100.2123,100.1287,100.1695,100.0994,99.6517,99.9101,99.5526,99.884,100.1933,100.0955,99.8817,99.1936,98.8184,99.0047,98.5979,98.6926,98.5271,98.6045,98.6152,98.5828,98.8122,98.4761,98.4761,98.4761,98.4761,98.3052,98.5356,98.5253,98.5253,99.3325,99.4774,99.8653,99.8633,99.6073,100.0177,99.9599,100.0339,100.3154,100.5601,100.8543,100.8719,101.0066,101.0066,100.7999,101.5103,100.7286,100.9054,101.0744,100.7757,100.6596,101.2811,101.3283
OAT FRANCE 2005 3 1/2% 25/04/15 - CLEAN PRICE,48726Q(CP),95.4489,95.7093,95.7378,95.6423,95.9077,96.0382,96.3483,96.2708,96.1007,95.9155,96.095,96.2369,96.5936,96.4244,96.7688,96.7987,96.6827,96.7334,96.647,96.195,96.4817,96.1086,96.4277,96.7456,96.6436,96.4133,95.7255,95.3386,95.5146,95.1019,95.1967,95.0362,95.1292,95.1409,95.1483,95.4023,95.0504,95.0504,95.0504,95.0504,94.87,95.1125,95.0929,95.0929,95.9333,96.0786,96.4769,96.5037,96.2458,96.6852,96.6301,96.6469,96.9274,97.1627,97.4753,97.4948,97.6429,98.0109,97.4182,98.1534,97.3177,97.4535,97.6784,97.426,97.3235,97.9717,97.9813
OAT FRANCE 2005 3% 25/10/15 - CLEAN PRICE,56413J(CP),91.8213,92.0808,92.0899,92.0022,92.2683,92.3877,92.7026,92.6115,92.4553,92.2872,92.4537,92.5755,92.9325,92.7571,93.1099,93.1499,93.0537,93.1242,93.0151,92.5514,92.8506,92.4836,92.7986,93.1268,93.0236,92.7799,92.0583,91.673,91.852,91.4219,91.5441,91.3718,91.4746,91.4994,91.4762,91.7512,91.3739,91.3739,91.3739,91.3739,91.211,91.4697,91.4725,91.4725,92.278,92.4317,92.8299,92.8516,92.5911,93.0422,93.0052,93.0282,93.294,93.5261,93.8371,93.8656,93.9988,94.376,93.7753,94.5156,93.7354,93.9126,94.0635,93.7649,93.659,94.3109,94.3751
OAT FRANCE 2006 3 1/4% 25/04/16 - CLEAN PRICE,62989U(CP),92.9491,93.2132,93.2009,93.1169,93.3847,93.5044,93.8196,93.7182,93.5584,93.3839,93.5463,93.6597,94.0459,93.851,94.1612,94.2161,94.1211,94.1932,94.1004,93.6369,93.9234,93.5667,93.8831,94.2286,94.1189,93.8583,93.112,92.7004,92.8689,92.4274,92.5308,92.3549,92.4635,92.4961,92.4637,92.7479,92.3509,92.3509,92.3509,92.3509,92.1649,92.4265,92.4546,92.4546,93.2731,93.4532,93.886,93.9107,93.6462,94.1098,94.1,94.121,94.4062,94.6485,94.959,94.969,95.0755,95.4714,94.8143,95.519,94.7667,94.8951,95.1023,94.776,94.6191,95.2956,95.3863
