Name,Code,1.11.07,2.11.07,5.11.07,6.11.07,7.11.07,8.11.07,9.11.07,12.11.07,13.11.07,14.11.07,15.11.07,16.11.07,19.11.07,20.11.07,21.11.07,22.11.07,23.11.07,26.11.07,27.11.07,28.11.07,29.11.07,30.11.07,3.12.07,4.12.07,5.12.07,6.12.07,7.12.07,10.12.07,11.12.07,12.12.07,13.12.07,14.12.07,17.12.07,18.12.07,19.12.07,20.12.07,21.12.07,24.12.07,25.12.07,26.12.07,27.12.07,28.12.07,31.12.07,1.1.08,2.1.08,3.1.08,4.1.08,7.1.08,8.1.08,9.1.08,10.1.08,11.1.08,14.1.08,15.1.08,16.1.08,17.1.08,18.1.08,21.1.08,22.1.08,23.1.08,24.1.08,25.1.08,28.1.08,29.1.08,30.1.08,31.1.08,1.2.08
BTAN FRANCE 2007 4 1/2% 12/07/12 - ACCRUED INTEREST,97695D(AC),1.3893,1.4262,1.4385,1.4508,1.4631,1.4754,1.5123,1.5246,1.5369,1.5492,1.5615,1.5984,1.6107,1.623,1.6352,1.6475,1.6844,1.6967,1.709,1.7213,1.7336,1.7705,1.7828,1.7951,1.8074,1.8197,1.8566,1.8689,1.8811,1.8934,1.9057,1.9426,1.9549,1.9672,1.9795,1.9918,2.0287,2.041,2.0533,2.0656,2.0779,2.1148,2.127,2.1393,2.1516,2.1639,2.2008,2.2131,2.2254,2.2377,2.25,2.2869,2.2992,2.3115,2.3238,2.3361,2.373,2.3852,2.3975,2.4098,2.4221,2.459,2.4713,2.4836,2.4959,2.5082,2.5451
OAT FRANCE 2002 4 3/4% 25/10/12 - ACCRUED INTEREST,22311J(AC),0.1557,0.1687,0.1817,0.1947,0.2336,0.2466,0.2596,0.2725,0.2855,0.3245,0.3374,0.3504,0.3634,0.3764,0.4153,0.4283,0.4413,0.4542,0.4672,0.5061,0.5191,0.5321,0.5451,0.5581,0.597,0.61,0.623,0.6359,0.6489,0.6878,0.7008,0.7138,0.7268,0.7398,0.7787,0.7917,0.8046,0.8176,0.8306,0.8695,0.8825,0.8955,0.9085,0.9214,0.9604,0.9734,0.9863,0.9993,1.0123,1.0512,1.0642,1.0772,1.0902,1.1031,1.1421,1.1551,1.168,1.181,1.194,1.2329,1.2459,1.2589,1.2719,1.2848,1.3238,1.3367,1.3497
OAT FRANCE 1987 8.5% 26/12/12 - ACCRUED INTEREST,747407(AC),7.3356,7.3589,7.3822,7.4055,7.4753,7.4986,7.5219,7.5452,7.5685,7.6384,7.6616,7.6849,7.7082,7.7315,7.8014,7.8247,7.8479,7.8712,7.8945,7.9644,7.9877,8.011,8.0342,8.0575,8.1274,8.1507,8.174,8.1973,8.2205,8.2904,8.3137,8.337,8.3603,8.3836,8.4534,8.4767,0,0.0232,0.0464,0.1161,0.1393,0.1626,0.1858,0.209,0.2787,0.3019,0.3251,0.3484,0.3716,0.4413,0.4645,0.4877,0.5109,0.5342,0.6038,0.627,0.6503,0.6735,0.6967,0.7664,0.7896,0.8128,0.8361,0.8593,0.929,0.9522,0.9754
OAT FRANCE 2003 4% 25/04/13 - ACCRUED INTEREST,24175W(AC),2.1311,2.1421,2.153,2.1639,2.1967,2.2077,2.2186,2.2295,2.2404,2.2732,2.2842,2.2951,2.306,2.3169,2.3497,2.3607,2.3716,2.3825,2.3934,2.4262,2.4372,2.4481,2.459,2.4699,2.5027,2.5137,2.5246,2.5355,2.5464,2.5792,2.5902,2.6011,2.612,2.623,2.6557,2.6667,2.6776,2.6885,2.6995,2.7322,2.7432,2.7541,2.765,2.776,2.8087,2.8197,2.8306,2.8415,2.8525,2.8852,2.8962,2.9071,2.918,2.929,2.9617,2.9727,2.9836,2.9945,3.0055,3.0383,3.0492,3.0601,3.071,3.082,3.1148,3.1257,3.1366
OAT FRANCE 2003 4% 25/10/13 - ACCRUED INTEREST,72334C(AC),0.1311,0.1421,0.153,0.1639,0.1967,0.2077,0.2186,0.2295,0.2404,0.2732,0.2842,0.2951,0.306,0.3169,0.3497,0.3607,0.3716,0.3825,0.3934,0.4262,0.4372,0.4481,0.459,0.4699,0.5027,0.5137,0.5246,0.5355,0.5464,0.5792,0.5902,0.6011,0.612,0.623,0.6557,0.6667,0.6776,0.6885,0.6995,0.7322,0.7432,0.7541,0.765,0.776,0.8087,0.8197,0.8306,0.8415,0.8525,0.8852,0.8962,0.9071,0.918,0.929,0.9617,0.9727,0.9836,0.9945,1.0055,1.0383,1.0492,1.0601,1.071,1.082,1.1148,1.1257,1.1366
OAT FRANCE 2003 4% 25/04/14 - ACCRUED INTEREST,39126F(AC),2.1311,2.1421,2.153,2.1639,2.1967,2.2077,2.2186,2.2295,2.2404,2.2732,2.2842,2.2951,2.306,2.3169,2.3497,2.3607,2.3716,2.3825,2.3934,2.4262,2.4372,2.4481,2.459,2.4699,2.5027,2.5137,2.5246,2.5355,2.5464,2.5792,2.5902,2.6011,2.612,2.623,2.6557,2.6667,2.6776,2.6885,2.6995,2.7322,2.7432,2.7541,2.765,2.776,2.8087,2.8197,2.8306,2.8415,2.8525,2.8852,2.8962,2.9071,2.918,2.929,2.9617,2.9727,2.9836,2.9945,3.0055,3.0383,3.0492,3.0601,3.071,3.082,3.1148,3.1257,3.1366
OAT FRANCE 2004 4% 25/10/14 - ACCRUED INTEREST,467324(AC),0.1311,0.1421,0.153,0.1639,0.1967,0.2077,0.2186,0.2295,0.2404,0.2732,0.2842,0.2951,0.306,0.3169,0.3497,0.3607,0.3716,0.3825,0.3934,0.4262,0.4372,0.4481,0.459,0.4699,0.5027,0.5137,0.5246,0.5355,0.5464,0.5792,0.5902,0.6011,0.612,0.623,0.6557,0.6667,0.6776,0.6885,0.6995,0.7322,0.7432,0.7541,0.765,0.776,0.8087,0.8197,0.8306,0.8415,0.8525,0.8852,0.8962,0.9071,0.918,0.929,0.9617,0.9727,0.9836,0.9945,1.0055,1.0383,1.0492,1.0601,1.071,1.082,1.1148,1.1257,1.1366
OAT FRANCE 2005 3 1/2% 25/04/15 - ACCRUED INTEREST,48726Q(AC),1.8648,1.8743,1.8839,1.8934,1.9221,1.9317,1.9413,1.9508,1.9604,1.9891,1.9986,2.0082,2.0178,2.0273,2.056,2.0656,2.0751,2.0847,2.0943,2.123,2.1325,2.1421,2.1516,2.1612,2.1899,2.1995,2.209,2.2186,2.2281,2.2568,2.2664,2.276,2.2855,2.2951,2.3238,2.3333,2.3429,2.3525,2.362,2.3907,2.4003,2.4098,2.4194,2.429,2.4577,2.4672,2.4768,2.4863,2.4959,2.5246,2.5342,2.5437,2.5533,2.5628,2.5915,2.6011,2.6107,2.6202,2.6298,2.6585,2.668,2.6776,2.6872,2.6967,2.7254,2.735,2.7445
OAT FRANCE 2005 3% 25/10/15 - ACCRUED INTEREST,56413J(AC),0.0984,0.1066,0.1148,0.123,0.1475,0.1557,0.1639,0.1721,0.1803,0.2049,0.2131,0.2213,0.2295,0.2377,0.2623,0.2705,0.2787,0.2869,0.2951,0.3197,0.3279,0.3361,0.3443,0.3525,0.377,0.3852,0.3934,0.4016,0.4098,0.4344,0.4426,0.4508,0.459,0.4672,0.4918,0.5,0.5082,0.5164,0.5246,0.5492,0.5574,0.5656,0.5738,0.582,0.6066,0.6148,0.623,0.6311,0.6393,0.6639,0.6721,0.6803,0.6885,0.6967,0.7213,0.7295,0.7377,0.7459,0.7541,0.7787,0.7869,0.7951,0.8033,0.8115,0.8361,0.8443,0.8525
OAT FRANCE 2006 3 1/4% 25/04/16 - ACCRUED INTEREST,62989U(AC),1.7316,1.7404,1.7493,1.7582,1.7848,1.7937,1.8026,1.8115,1.8204,1.847,1.8559,1.8648,1.8736,1.8825,1.9092,1.918,1.9269,1.9358,1.9447,1.9713,1.9802,1.9891,1.998,2.0068,2.0335,2.0423,2.0512,2.0601,2.069,2.0956,2.1045,2.1134,2.1223,2.1311,2.1578,2.1667,2.1755,2.1844,2.1933,2.2199,2.2288,2.2377,2.2466,2.2555,2.2821,2.291,2.2999,2.3087,2.3176,2.3443,2.3531,2.362,2.3709,2.3798,2.4064,2.4153,2.4242,2.4331,2.4419,2.4686,2.4775,2.4863,2.4952,2.5041,2.5307,2.5396,2.5485
